time,seconds_elapsed,z,y,x
1760471333570624500,0.04262451171875,0.10938041217327117,-0.03577800034582615,-0.02041889767644461
1760471333580587500,0.05258740234375,0.18965572589337826,0.005502104547619819,0.06729890036960132
1760471333590549500,0.062549560546875,0.11103753173053264,0.033355157113075254,0.014623130244761704
1760471333600511500,0.072511474609375,0.01585749434530735,0.07603694549798964,0.017436753760231658
1760471333610473700,0.0824736328125,-0.029025603476166725,0.08111644071936606,0.04586688012785744
1760471333620435500,0.092435546875,-0.11487433341443538,0.03367313702106475,0.00004324776997091248
1760471333630398500,0.1023984375,-0.14379706103801726,-0.08346212706267833,-0.12994279627390204
1760471333640360700,0.112360595703125,-0.0708890612155199,-0.0712421124368906,-0.059359156878897916
1760471333650322400,0.122322509765625,-0.049504912403225895,0.0021229835033416745,-0.0344325519700651
1760471333660284400,0.132284423828125,-0.02844575776159763,-0.014317863687872886,-0.05345737178947311
1760471333670246700,0.14224658203125,0.006140986973047256,-0.044317865154147144,0.01568508664566907
1760471333680209700,0.152209716796875,0.08876666321158408,-0.04271510613262653,0.005407168831251329
1760471333690171400,0.16217138671875,0.15611585986316204,-0.03099719581007957,0.06445489998217671
1760471333700133600,0.172133544921875,0.1681944201916456,-0.06659399437010288,0.08363861614074558
1760471333710095600,0.182095703125,0.17959844225943086,-0.06402326709926127,0.04762018093543593
1760471333720057600,0.1920576171875,0.14013386235535144,-0.017766542837023735,-0.011219030022853984
1760471333730020600,0.2020205078125,0.08091887232065201,0.041892683833837506,0.031147358570224604
1760471333739982600,0.211982666015625,-0.11605214502215384,0.004313187023997306,0.02846976425827015
1760471333749944600,0.221944580078125,-0.17974866438508033,-0.0542757800668478,-0.009369550248247104
1760471333759906600,0.231906494140625,-0.18146072899997234,-0.04387479756176471,-0.01675011406978592
1760471333769868500,0.24186865234375,-0.14317863687872887,-0.04600713341534138,-0.05088817432201467
1760471333779831300,0.251831298828125,-0.06200900466740131,-0.05920505316257477,-0.035950098659854844
1760471333789793500,0.26179345703125,-0.016207038435339927,-0.03174363026320934,-0.020764733705739488
1760471333799755500,0.271755615234375,0.0017547347128391265,0.03095627927780151,-0.0034879128977074285
1760471333809717500,0.281717529296875,0.10235796619057655,0.0201338564902544,0.00848078014840139
1760471333819679500,0.291679443359375,0.2357195579320192,0.0007657236754894256,-0.0335147178892279
1760471333829642500,0.301642578125,0.3237117296397686,-0.027401217144727704,0.03532366700733546
1760471333839604700,0.311604736328125,0.2850631422936916,-0.06446867277920246,0.09709426437555811
1760471333849566500,0.32156640625,0.15974866340756416,-0.10323182641565799,0.07211772622764111
1760471333859528400,0.331528564453125,0.22283728000521658,-0.06473170762956142,-0.0024949597625352907
1760471333869490700,0.34149072265625,0.26113866134881975,-0.010190554624795914,0.19411672389023005
1760471333879452400,0.351452392578125,0.16165362024605273,-0.062300681090354915,0.2046072478422895
1760471333889415400,0.36141552734375,0.07416647545099259,-0.08691665143072605,-0.04278599311148282
1760471333899377700,0.371377685546875,-0.001222235271334648,-0.02896072154641151,-0.12148690168829634
1760471333909339400,0.38133935546875,-0.11567688196897506,-0.04177928658723831,-0.15409187975488603
1760471333919301600,0.391301513671875,-0.12336509838402271,-0.039942134287953374,-0.1651646605743095
1760471333929263600,0.401263671875,-0.11168109033107756,0.017329904985427854,-0.03173763434726279
1760471333939226600,0.4112265625,-0.07211246553063393,0.022900983116030692,0.005751572096929885
1760471333949188400,0.421188232421875,0.0171884506881237,0.02066284880042076,0.021541266469610854
1760471333959150600,0.431150634765625,0.0885129807114601,0.016832476857304574,-0.012958421036088838
1760471333969112600,0.441112548828125,0.15731763686835765,-0.013074293367564677,-0.009222723372792825
1760471333979074600,0.451074462890625,0.2759451853364706,-0.06829495306909084,0.028781695734674574
1760471333989037600,0.46103759765625,0.3029804917782545,-0.09724456869959831,0.053767675281083206
1760471333998999600,0.47099951171875,0.31484745518267154,-0.043908699831366534,0.02892503602838842
1760471334008961500,0.48096142578125,0.28747604865431786,0.03937280996739864,-0.04127775310615543
1760471334018923500,0.490923583984375,0.19587620784342288,0.04962620069533586,-0.011038984722743042
1760471334028885500,0.500885498046875,0.0021919570863246918,-0.018700608816742896,0.03658567031676648
1760471334038848500,0.5108486328125,-0.11601590466499329,-0.068930620624125,-0.005943552146718139
1760471334048810500,0.520810546875,-0.1969084735006094,-0.08672872764319181,-0.03319497984899208
1760471334058772500,0.5307724609375,-0.23485914171040057,-0.08150865490734577,-0.041193225761014036
1760471334068734500,0.540734375,-0.14527648594081402,-0.06646510729342699,-0.05897418528245762
1760471334078696400,0.550696533203125,-0.08451075933277606,-0.08498392980247735,-0.04129051668960601
1760471334088659500,0.560659423828125,0.050970308780670166,-0.08689064020663499,-0.022773025337827855
1760471334098621700,0.57062158203125,0.16701543954014778,-0.06226356395035982,0.03670488766608759
1760471334108583400,0.58058349609375,0.2639940507799387,-0.0512453263297677,0.04478076539158355
1760471334118545400,0.59054541015625,0.34429975963830944,-0.04622545234113931,-0.00966540737268515
1760471334128507600,0.600507568359375,0.4056459164828062,0.002289279980957508,-0.03826970756370574
1760471334138470400,0.610470458984375,0.43298342074155804,0.04709259056448936,-0.051750430874270385
1760471334148432400,0.620432373046875,0.512481320348382,0.043755262835323806,-0.03247365243765525
1760471334158394600,0.63039453125,0.6525666673868894,-0.04447422475963831,-0.05099747078223154
1760471334168356400,0.6403564453125,0.7745826892495155,-0.04679419213980436,-0.0054532147714402525
1760471334178318800,0.65031884765625,0.6602414397984743,0.008258709779381751,-0.077393894798588
