time,seconds_elapsed,z,y,x
1760471333559417600,0.03141748046875,-0.8467864990234375,-0.554840087890625,-0.006927490234375
1760471333569379600,0.041379638671875,-0.8284454345703125,-0.550018310546875,0.0020751953125
1760471333579342600,0.051342529296875,-0.8204193115234375,-0.543731689453125,0.0134735107421875
1760471333589304300,0.06130419921875,-0.8266754150390625,-0.54095458984375,0.006683349609375
1760471333599266600,0.0712666015625,-0.8384552001953125,-0.535797119140625,0.0062408447265625
1760471333609228500,0.081228515625,-0.842864990234375,-0.5337066650390625,0.0081939697265625
1760471333619190500,0.0911904296875,-0.8508453369140625,-0.5373077392578125,0.004180908203125
1760471333629153500,0.101153564453125,-0.8553619384765625,-0.5499267578125,-0.0100860595703125
1760471333639115500,0.111115478515625,-0.8480377197265625,-0.55133056640625,-0.0044708251953125
1760471333649077500,0.121077392578125,-0.844268798828125,-0.5432586669921875,-0.00140380859375
1760471333659039500,0.13103955078125,-0.8426513671875,-0.5444183349609375,-0.003692626953125
1760471333669001500,0.14100146484375,-0.838470458984375,-0.5480194091796875,0.0027923583984375
1760471333678964700,0.15096484375,-0.83148193359375,-0.5477294921875,0.00225830078125
1760471333688926500,0.160926513671875,-0.8243560791015625,-0.547088623046875,0.00640869140625
1760471333698888400,0.170888427734375,-0.8221282958984375,-0.5496673583984375,0.0086212158203125
1760471333708850700,0.1808505859375,-0.8211517333984375,-0.54931640625,0.0049285888671875
1760471333718812400,0.1908125,-0.8256378173828125,-0.5443115234375,-0.00164794921875
1760471333728775400,0.200775390625,-0.8307037353515625,-0.537445068359375,0.0010223388671875
1760471333738737700,0.210737548828125,-0.8509521484375,-0.5385284423828125,0.00250244140625
1760471333748699400,0.220699462890625,-0.8614349365234375,-0.5439300537109375,-0.00372314453125
1760471333758661600,0.23066162109375,-0.86151123046875,-0.5431365966796875,-0.0033721923828125
1760471333768623600,0.24062353515625,-0.8587188720703125,-0.5418853759765625,-0.00726318359375
1760471333778586600,0.250586669921875,-0.85137939453125,-0.54339599609375,-0.0064239501953125
1760471333788548400,0.26054833984375,-0.84503173828125,-0.5405731201171875,-0.0050201416015625
1760471333798510600,0.270510498046875,-0.843505859375,-0.5333404541015625,-0.0028839111328125
1760471333808472600,0.28047265625,-0.834564208984375,-0.5328521728515625,-0.0001678466796875
1760471333818434600,0.2904345703125,-0.822052001953125,-0.534820556640625,-0.0047149658203125
1760471333828397600,0.3003974609375,-0.8126678466796875,-0.536773681640625,0.0009002685546875
1760471333838359600,0.310359619140625,-0.81549072265625,-0.539703369140625,0.008087158203125
1760471333848321500,0.320321533203125,-0.8291778564453125,-0.542022705078125,0.007171630859375
1760471333858283500,0.330283447265625,-0.82781982421875,-0.5374603271484375,-0.001739501953125
1760471333868245500,0.34024560546875,-0.8228759765625,-0.5272064208984375,0.0138397216796875
1760471333878207500,0.35020751953125,-0.8336029052734375,-0.529693603515625,0.0201263427734375
1760471333888170500,0.36017041015625,-0.84503173828125,-0.530487060546875,-0.006439208984375
1760471333898132500,0.370132568359375,-0.853759765625,-0.5211944580078125,-0.01763916015625
1760471333908094700,0.3800947265625,-0.868072509765625,-0.518035888671875,-0.0208282470703125
1760471333918056400,0.390056396484375,-0.8717803955078125,-0.5157928466796875,-0.02410888671875
1760471333928018700,0.400018798828125,-0.871856689453125,-0.507049560546875,-0.010467529296875
1760471333937981700,0.409981689453125,-0.8703155517578125,-0.50390625,-0.0054931640625
1760471333947943400,0.419943359375,-0.863494873046875,-0.501922607421875,-0.0023956298828125
1760471333957905400,0.429905517578125,-0.8575439453125,-0.4986724853515625,-0.005859375
1760471333967867600,0.43986767578125,-0.852691650390625,-0.4985504150390625,-0.00372314453125
1760471333977829400,0.449829345703125,-0.8422088623046875,-0.5004425048828125,-0.000457763671875
1760471333987792400,0.45979248046875,-0.8400421142578125,-0.501495361328125,0.00347900390625
1760471333997754600,0.469754638671875,-0.84075927734375,-0.4923858642578125,0.00140380859375
1760471334007716400,0.47971630859375,-0.8459320068359375,-0.4803924560546875,-0.005035400390625
1760471334017678600,0.4896787109375,-0.8564605712890625,-0.4721221923828125,-0.00421142578125
1760471334027640600,0.499640625,-0.8788909912109375,-0.47509765625,0.002105712890625
1760471334037603600,0.509603515625,-0.893463134765625,-0.475128173828125,-0.0018463134765625
